sim_time,supervisor_event,controller_event,Plant.Temperature,Plant.Temperature_heater,Controller.heater_ctrl,Supervisor.temperature_desired,Supervisor.heating_time
3219.5,False,False,24.429222106933594,25.202701568603516,False,23.563213348388672,15.064743041992188
3220.0,False,False,24.427942276000977,25.20073699951172,False,23.563213348388672,15.064743041992188
3220.5,False,True,24.426660537719727,25.198774337768555,False,23.563213348388672,15.064743041992188
3221.0,False,False,24.425378799438477,25.196815490722656,False,23.563213348388672,15.064743041992188
3221.5,False,False,24.424097061157227,25.194856643676758,False,23.563213348388672,15.064743041992188
3222.0,False,False,24.422815322875977,25.192899703979492,False,23.563213348388672,15.064743041992188
3222.5,False,False,24.421531677246094,25.19094467163086,False,23.563213348388672,15.064743041992188
3223.0,False,False,24.420246124267578,25.18899154663086,False,23.563213348388672,15.064743041992188
3223.5,False,True,24.418960571289062,25.187040328979492,False,23.563213348388672,15.064743041992188
3224.0,False,False,24.417675018310547,25.185089111328125,False,23.563213348388672,15.064743041992188
3224.5,False,False,24.41638946533203,25.183141708374023,False,23.563213348388672,15.064743041992188
3225.0,False,False,24.415102005004883,25.181194305419922,False,23.563213348388672,15.064743041992188
3225.5,False,False,24.413814544677734,25.179250717163086,False,23.563213348388672,15.064743041992188
3226.0,False,False,24.412525177001953,25.17730712890625,False,23.563213348388672,15.064743041992188
3226.5,False,True,24.411235809326172,25.175365447998047,False,23.563213348388672,15.064743041992188
3227.0,False,False,24.40994644165039,25.173425674438477,False,23.563213348388672,15.064743041992188
3227.5,False,False,24.408655166625977,25.171485900878906,False,23.563213348388672,15.064743041992188
3228.0,False,False,24.407363891601562,25.1695499420166,False,23.563213348388672,15.064743041992188
3228.5,False,False,24.40607261657715,25.16761589050293,False,23.563213348388672,15.064743041992188
3229.0,False,False,24.404781341552734,25.165681838989258,False,23.563213348388672,15.064743041992188
3229.5,False,True,24.403488159179688,25.16374969482422,False,23.563213348388672,15.064743041992188
3230.0,False,False,24.40219497680664,25.161819458007812,False,23.563213348388672,15.064743041992188
3230.5,False,False,24.40089988708496,25.15989112854004,False,23.563213348388672,15.064743041992188
