sim_time,supervisor_event,Plant.Temperature,Plant.Temperature_heater,Controller.heater_ctrl,Supervisor.temperature_desired,Supervisor.heating_time
2061.0,False,34.108394622802734,36.94651794433594,False,36.11859130859375,19.438154220581055
2061.5,False,34.10313034057617,36.93931198120117,False,36.11859130859375,19.438154220581055
2062.0,False,34.097869873046875,36.93211364746094,False,36.11859130859375,19.438154220581055
2062.5,False,34.09260559082031,36.9249153137207,False,36.11859130859375,19.438154220581055
2063.0,False,34.08734130859375,36.917724609375,False,36.11859130859375,19.438154220581055
2063.5,False,34.08207321166992,36.91054153442383,False,36.11859130859375,19.438154220581055
2064.0,False,34.07680892944336,36.903358459472656,False,36.11859130859375,19.438154220581055
2064.5,False,34.0715446472168,36.896183013916016,False,36.11859130859375,19.438154220581055
2065.0,False,34.066280364990234,36.88901138305664,False,36.11859130859375,19.438154220581055
2065.5,False,34.061012268066406,36.8818473815918,False,36.11859130859375,19.438154220581055
2066.0,False,34.055747985839844,36.87468338012695,False,36.11859130859375,19.438154220581055
2066.5,False,34.050479888916016,36.86752700805664,False,36.11859130859375,19.438154220581055
2067.0,False,34.04521179199219,36.860374450683594,False,36.11859130859375,19.438154220581055
2067.5,False,34.039947509765625,36.85322952270508,False,36.11859130859375,19.438154220581055
2068.0,False,34.0346794128418,36.84608840942383,False,36.11859130859375,19.438154220581055
2068.5,False,34.02941131591797,36.83894729614258,False,36.11859130859375,19.438154220581055
2069.0,False,34.02414321899414,36.831817626953125,False,36.11859130859375,19.438154220581055
2069.5,False,34.01887893676758,36.82468795776367,False,36.11859130859375,19.438154220581055
2070.0,False,34.01361083984375,36.81756591796875,False,36.11859130859375,19.438154220581055
2070.5,False,34.00834274291992,36.810447692871094,False,36.11859130859375,19.438154220581055
2071.0,False,34.003074645996094,36.8033332824707,False,36.11859130859375,19.438154220581055
2071.5,False,33.997806549072266,36.79622268676758,False,36.11859130859375,19.438154220581055
2072.0,False,33.99253845214844,36.789119720458984,False,36.11859130859375,19.438154220581055
2072.5,False,33.98727035522461,36.782020568847656,False,36.11859130859375,19.438154220581055
2073.0,False,33.98200225830078,36.774925231933594,False,36.11859130859375,19.438154220581055
2073.5,False,33.97673416137695,36.7678337097168,False,36.11859130859375,19.438154220581055
2074.0,False,33.971466064453125,36.760746002197266,False,36.11859130859375,19.438154220581055
2074.5,False,33.9661979675293,36.753665924072266,False,36.11859130859375,19.438154220581055
2075.0,False,33.9609260559082,36.74658966064453,False,36.11859130859375,19.438154220581055
2075.5,False,33.955657958984375,36.73951721191406,False,36.11859130859375,19.438154220581055
2076.0,False,33.95038986206055,36.73244857788086,False,36.11859130859375,19.438154220581055
2076.5,False,33.94512176513672,36.72538757324219,False,36.11859130859375,19.438154220581055
2077.0,False,33.93985366821289,36.718326568603516,False,36.11859130859375,19.438154220581055
2077.5,False,33.93458557128906,36.711273193359375,False,36.11859130859375,19.438154220581055
2078.0,False,33.9293212890625,36.7042236328125,False,36.11859130859375,19.438154220581055
2078.5,False,33.92405319213867,36.69717788696289,False,36.11859130859375,19.438154220581055
2079.0,False,33.918785095214844,36.69013977050781,False,36.11859130859375,19.438154220581055
2079.5,False,33.913516998291016,36.683101654052734,False,36.11859130859375,19.438154220581055
2080.0,False,33.90824890136719,36.67607116699219,False,36.11859130859375,19.438154220581055
2080.5,False,33.90298080444336,36.669044494628906,False,36.11859130859375,19.438154220581055
2081.0,False,33.8977165222168,36.66202163696289,False,36.11859130859375,19.438154220581055
2081.5,False,33.89244842529297,36.655006408691406,False,36.11859130859375,19.438154220581055
2082.0,False,33.88718032836914,36.64799118041992,False,36.11859130859375,19.438154220581055
2082.5,False,33.88191604614258,36.64098358154297,False,36.11859130859375,19.438154220581055
2083.0,False,33.87664794921875,36.633975982666016,False,36.11859130859375,19.438154220581055
2083.5,False,33.87138366699219,36.626976013183594,False,36.11859130859375,19.438154220581055
2084.0,False,33.866119384765625,36.61997985839844,False,36.11859130859375,19.438154220581055
2084.5,False,33.8608512878418,36.61299133300781,False,36.11859130859375,19.438154220581055
2085.0,False,33.855587005615234,36.60600280761719,False,36.11859130859375,19.438154220581055
2085.5,False,33.85032272338867,36.599021911621094,False,36.11859130859375,19.438154220581055
2086.0,False,33.84505844116211,36.592041015625,False,36.11859130859375,19.438154220581055
2086.5,False,33.83979415893555,36.58506774902344,False,36.11859130859375,19.438154220581055
2087.0,False,33.834529876708984,36.57809829711914,False,36.11859130859375,19.438154220581055
2087.5,False,33.82926559448242,36.57113265991211,False,36.11859130859375,19.438154220581055
2088.0,False,33.824005126953125,36.564170837402344,False,36.11859130859375,19.438154220581055
2088.5,False,33.81874084472656,36.55721664428711,False,36.11859130859375,19.438154220581055
2089.0,False,33.8134765625,36.550262451171875,False,36.11859130859375,19.438154220581055
2089.5,False,33.8082160949707,36.54331588745117,False,36.11859130859375,19.438154220581055
2090.0,False,33.802955627441406,36.536373138427734,False,36.11859130859375,19.438154220581055
2090.5,False,33.79769515991211,36.5294303894043,False,36.11859130859375,19.438154220581055
2091.0,False,33.79243087768555,36.52249526977539,False,36.11859130859375,19.438154220581055
2091.5,False,33.787174224853516,36.51556396484375,False,36.11859130859375,19.438154220581055
2092.0,False,33.78191375732422,36.50864028930664,False,36.11859130859375,19.438154220581055
2092.5,False,33.77665328979492,36.50171661376953,False,36.11859130859375,19.438154220581055
2093.0,False,33.771392822265625,36.49479675292969,False,36.11859130859375,19.438154220581055
2093.5,False,33.766136169433594,36.487884521484375,False,36.11859130859375,19.438154220581055
2094.0,False,33.76087951660156,36.48097229003906,False,36.11859130859375,19.438154220581055
2094.5,False,33.755619049072266,36.47406768798828,False,36.11859130859375,19.438154220581055
2095.0,False,33.750362396240234,36.467166900634766,False,36.11859130859375,19.438154220581055
2095.5,False,33.7451057434082,36.460269927978516,False,36.11859130859375,19.438154220581055
2096.0,False,33.73985290527344,36.45337677001953,False,36.11859130859375,19.438154220581055
2096.5,False,33.734596252441406,36.44648742675781,False,36.11859130859375,19.438154220581055
2097.0,False,33.729339599609375,36.43960189819336,False,36.11859130859375,19.438154220581055
2097.5,False,33.72408676147461,36.43272018432617,False,36.11859130859375,19.438154220581055
2098.0,False,33.718833923339844,36.425846099853516,False,36.11859130859375,19.438154220581055
2098.5,False,33.71358108520508,36.41897201538086,False,36.11859130859375,19.438154220581055
2099.0,False,33.70832824707031,36.412105560302734,False,36.11859130859375,19.438154220581055
2099.5,False,33.70307540893555,36.40523910522461,False,36.11859130859375,19.438154220581055
2100.0,False,33.69782638549805,36.398380279541016,False,36.11859130859375,19.438154220581055
2100.5,False,33.69257354736328,36.39152526855469,False,36.11859130859375,19.438154220581055
2101.0,False,33.68732452392578,36.38467025756836,False,36.11859130859375,19.438154220581055
2101.5,False,33.68207550048828,36.37782287597656,False,36.11859130859375,19.438154220581055
2102.0,False,33.67682647705078,36.37097930908203,False,36.11859130859375,19.438154220581055
2102.5,False,33.67157745361328,36.364139556884766,False,36.11859130859375,19.438154220581055
2103.0,False,33.66633224487305,36.357303619384766,False,36.11859130859375,19.438154220581055
2103.5,False,33.66108703613281,36.35047149658203,False,36.11859130859375,19.438154220581055
2104.0,False,33.65583801269531,36.34364318847656,False,36.11859130859375,19.438154220581055
2104.5,False,33.65059280395508,36.336822509765625,False,36.11859130859375,19.438154220581055
2105.0,False,33.64535140991211,36.33000183105469,False,36.11859130859375,19.438154220581055
2105.5,False,33.640106201171875,36.323184967041016,False,36.11859130859375,19.438154220581055
2106.0,False,33.634864807128906,36.31637191772461,False,36.11859130859375,19.438154220581055
2106.5,False,33.62961959838867,36.309566497802734,False,36.11859130859375,19.438154220581055
2107.0,False,33.6243782043457,36.30276107788086,False,36.11859130859375,19.438154220581055
2107.5,False,33.619140625,36.295963287353516,False,36.11859130859375,19.438154220581055
2108.0,False,33.61389923095703,36.28916549682617,False,36.11859130859375,19.438154220581055
2108.5,False,33.60866165161133,36.28237533569336,False,36.11859130859375,19.438154220581055
2109.0,False,33.603424072265625,36.27558517456055,False,36.11859130859375,19.438154220581055
2109.5,False,33.59818649291992,36.268802642822266,False,36.11859130859375,19.438154220581055
2110.0,False,33.59294891357422,36.26202392578125,False,36.11859130859375,19.438154220581055
2110.5,False,33.587711334228516,36.255245208740234,False,36.11859130859375,19.438154220581055
2111.0,False,33.58247756958008,36.24847412109375,False,36.11859130859375,19.438154220581055
2111.5,False,33.57724380493164,36.24170684814453,False,36.11859130859375,19.438154220581055
2112.0,False,33.5720100402832,36.23493957519531,False,36.11859130859375,19.438154220581055
2112.5,False,33.566776275634766,36.228179931640625,False,36.11859130859375,19.438154220581055
2113.0,False,33.561546325683594,36.2214241027832,False,36.11859130859375,19.438154220581055
2113.5,False,33.55631637573242,36.21467208862305,False,36.11859130859375,19.438154220581055
2114.0,False,33.55108642578125,36.207923889160156,False,36.11859130859375,19.438154220581055
2114.5,False,33.54585647583008,36.201175689697266,False,36.11859130859375,19.438154220581055
2115.0,False,33.540626525878906,36.194435119628906,False,36.11859130859375,19.438154220581055
2115.5,False,33.535400390625,36.18769836425781,False,36.11859130859375,19.438154220581055
2116.0,False,33.530174255371094,36.180965423583984,False,36.11859130859375,19.438154220581055
2116.5,False,33.52494812011719,36.17423629760742,False,36.11859130859375,19.438154220581055
2117.0,False,33.51972579956055,36.16750717163086,False,36.11859130859375,19.438154220581055
2117.5,False,33.514503479003906,36.16078567504883,False,36.11859130859375,19.438154220581055
2118.0,False,33.509281158447266,36.15406799316406,False,36.11859130859375,19.438154220581055
2118.5,False,33.504058837890625,36.14735412597656,False,36.11859130859375,19.438154220581055
2119.0,False,33.498836517333984,36.14064407348633,False,36.11859130859375,19.438154220581055
2119.5,False,33.49361801147461,36.13393783569336,False,36.11859130859375,19.438154220581055
2120.0,False,33.488399505615234,36.12723159790039,False,36.11859130859375,19.438154220581055
2120.5,False,33.48318099975586,36.12053298950195,False,36.11859130859375,19.438154220581055
2121.0,False,33.47796630859375,36.11383819580078,False,36.11859130859375,19.438154220581055
2121.5,False,33.472747802734375,36.107147216796875,False,36.11859130859375,19.438154220581055
2122.0,False,33.467533111572266,36.10045623779297,False,36.11859130859375,19.438154220581055
2122.5,False,33.46232223510742,36.093772888183594,False,36.11859130859375,19.438154220581055
2123.0,False,33.45710754394531,36.087093353271484,False,36.11859130859375,19.438154220581055
2123.5,False,33.45189666748047,36.08041763305664,False,36.11859130859375,19.438154220581055
2124.0,False,33.446685791015625,36.0737419128418,False,36.11859130859375,19.438154220581055
2124.5,False,33.44147872924805,36.067073822021484,False,36.11859130859375,19.438154220581055
2125.0,False,33.4362678527832,36.06040573120117,False,36.11859130859375,19.438154220581055
2125.5,False,33.431060791015625,36.05374526977539,False,36.11859130859375,19.438154220581055
2126.0,False,33.42585372924805,36.047088623046875,False,36.11859130859375,19.438154220581055
2126.5,False,33.420650482177734,36.04043197631836,False,36.11859130859375,19.438154220581055
2127.0,False,33.41544723510742,36.033782958984375,False,36.11859130859375,19.438154220581055
2127.5,False,33.41024398803711,36.02713394165039,False,36.11859130859375,19.438154220581055
2128.0,False,33.4050407409668,36.02048873901367,False,36.11859130859375,19.438154220581055
2128.5,False,33.39984130859375,36.013851165771484,False,36.11859130859375,19.438154220581055
2129.0,False,33.3946418762207,36.0072135925293,False,36.11859130859375,19.438154220581055
2129.5,False,33.389442443847656,36.000579833984375,False,36.11859130859375,19.438154220581055
2130.0,False,33.38424301147461,35.993953704833984,False,36.11859130859375,19.438154220581055
2130.5,False,33.37904739379883,35.987327575683594,False,36.11859130859375,19.438154220581055
2131.0,False,33.37385177612305,35.98070526123047,False,36.11859130859375,19.438154220581055
2131.5,False,33.36865997314453,35.97408676147461,False,36.11859130859375,19.438154220581055
2132.0,False,33.36346435546875,35.967472076416016,False,36.11859130859375,19.438154220581055
2132.5,False,33.358272552490234,35.96086120605469,False,36.11859130859375,19.438154220581055
2133.0,False,33.353084564208984,35.954254150390625,False,36.11859130859375,19.438154220581055
2133.5,False,33.34789276123047,35.94765090942383,False,36.11859130859375,19.438154220581055
2134.0,False,33.34270477294922,35.9410514831543,False,36.11859130859375,19.438154220581055
2134.5,False,33.337520599365234,35.934452056884766,False,36.11859130859375,19.438154220581055
2135.0,False,33.332332611083984,35.927860260009766,False,36.11859130859375,19.438154220581055
2135.5,False,33.3271484375,35.92127227783203,False,36.11859130859375,19.438154220581055
2136.0,False,33.321964263916016,35.9146842956543,False,36.11859130859375,19.438154220581055
